Year,SERIES,REF_AREA,PRODUCT,UNIT_MEASURE,DATA_LAST_UPDATE,OBS_STATUS,UNIT_MULT,TIME_DETAIL,SOURCE_DETAIL,Value
2005,TM_TAX_DPRF,231,AGG_CLTH,PT,2025-03-26T00:00:00,A,0,2023,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",0.0592
2010,TM_TAX_DPRF,231,AGG_CLTH,PT,2025-03-26T00:00:00,A,0,2023,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",0.05894
2011,TM_TAX_DPRF,231,AGG_CLTH,PT,2025-03-26T00:00:00,A,0,2023,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",0.01611
2012,TM_TAX_DPRF,231,AGG_CLTH,PT,2025-03-26T00:00:00,A,0,2023,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",0.01611
2013,TM_TAX_DPRF,231,AGG_CLTH,PT,2025-03-26T00:00:00,A,0,2023,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",0.01611
2014,TM_TAX_DPRF,231,AGG_CLTH,PT,2025-03-26T00:00:00,A,0,2023,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",0.01611
2015,TM_TAX_DPRF,231,AGG_CLTH,PT,2025-03-26T00:00:00,A,0,2023,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",0.01611
2016,TM_TAX_DPRF,231,AGG_CLTH,PT,2025-03-26T00:00:00,A,0,2023,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",0.01611
2017,TM_TAX_DPRF,231,AGG_CLTH,PT,2025-03-26T00:00:00,A,0,2023,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",0.01611
2018,TM_TAX_DPRF,231,AGG_CLTH,PT,2025-03-26T00:00:00,A,0,2023,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",0.01603
2019,TM_TAX_DPRF,231,AGG_CLTH,PT,2025-03-26T00:00:00,A,0,2023,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",0.01488
2020,TM_TAX_DPRF,231,AGG_CLTH,PT,2025-03-26T00:00:00,A,0,2023,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",0.01493
2021,TM_TAX_DPRF,231,AGG_CLTH,PT,2025-03-26T00:00:00,A,0,2023,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",0.01493
2022,TM_TAX_DPRF,231,AGG_CLTH,PT,2025-03-26T00:00:00,A,0,2023,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",8.13128
2023,TM_TAX_DPRF,231,AGG_CLTH,PT,2025-03-26T00:00:00,A,0,2023,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",8.13128
2000,TM_TAX_DPRF,231,AGG_IND,PT,2025-03-26T00:00:00,A,0,2023,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",0.35964
2005,TM_TAX_DPRF,231,AGG_IND,PT,2025-03-26T00:00:00,A,0,2023,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",0.03939
2010,TM_TAX_DPRF,231,AGG_IND,PT,2025-03-26T00:00:00,A,0,2023,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",0.01128
