Year,SERIES,REF_AREA,SEX,AGE,UNIT_MEASURE,DATA_LAST_UPDATE,OBS_STATUS,UNIT_MULT,TIME_DETAIL,UPPER_BOUND,LOWER_BOUND,SOURCE_DETAIL,Value
2022,SH_STA_STNTN,231,None,Y0T4,NUMBER,2025-03-27T00:00:00,A,3,2024,7790.1,6039.7,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",6647.9
2023,SH_STA_STNTN,231,None,Y0T4,NUMBER,2025-03-27T00:00:00,A,3,2024,7790.1,6039.7,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",6781.6
2024,SH_STA_STNTN,231,None,Y0T4,NUMBER,2025-03-27T00:00:00,A,3,2024,7790.1,6039.7,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",6889.9
2000,SH_STA_STNTN,231,F,Y0T4,NUMBER,2025-03-27T00:00:00,A,3,2024,3547.1,2745.8,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",3504.0
2001,SH_STA_STNTN,231,F,Y0T4,NUMBER,2025-03-27T00:00:00,A,3,2024,3547.1,2745.8,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",3507.6
2002,SH_STA_STNTN,231,F,Y0T4,NUMBER,2025-03-27T00:00:00,A,3,2024,3547.1,2745.8,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",3511.9
2003,SH_STA_STNTN,231,F,Y0T4,NUMBER,2025-03-27T00:00:00,A,3,2024,3547.1,2745.8,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",3513.4
2004,SH_STA_STNTN,231,F,Y0T4,NUMBER,2025-03-27T00:00:00,A,3,2024,3547.1,2745.8,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",3501.2
2005,SH_STA_STNTN,231,F,Y0T4,NUMBER,2025-03-27T00:00:00,A,3,2024,3547.1,2745.8,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",3482.4
2006,SH_STA_STNTN,231,F,Y0T4,NUMBER,2025-03-27T00:00:00,A,3,2024,3547.1,2745.8,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",3453.1
